Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;_1_XY;_2_XY;_3_XY;_4_XY;Position X;Position Y;Cluster
23;District 1 Alpha;Curiosity;Exclusive;0023E;-2400, 432;-2384, 416;-2384, 448;-2416, 448;-2416, 416;-2400.0000;432.0000;3
24;District 1 Alpha;Curiosity;Exclusive;0024E;-2368, 432;-2352, 416;-2352, 448;-2384, 448;-2384, 416;-2368.0000;432.0000;3
25;District 1 Alpha;Curiosity;Exclusive;0025E;-2432, -368;-2416, -352;-2416, -384;-2448, -384;-2448, -352;-2432.0000;-368.0000;4
26;District 1 Alpha;Curiosity;Exclusive;0026E;-2400, -368;-2384, -352;-2384, -384;-2416, -384;-2416, -352;-2400.0000;-368.0000;4
27;District 1 Alpha;Curiosity;Exclusive;0027E;-2368, -368;-2352, -352;-2352, -384;-2384, -384;-2384, -352;-2368.0000;-368.0000;4
28;District 1 Alpha;Curiosity;Exclusive;0028E;-2368, -400;-2352, -384;-2352, -416;-2384, -416;-2384, -384;-2368.0000;-400.0000;4
29;District 1 Alpha;Curiosity;Exclusive;0029E;-2432, -400;-2416, -384;-2416, -416;-2448, -416;-2448, -384;-2432.0000;-400.0000;4
30;District 1 Alpha;Curiosity;Exclusive;0030E;-2432, -432;-2416, -416;-2416, -448;-2448, -448;-2448, -416;-2432.0000;-432.0000;4
31;District 1 Alpha;Curiosity;Exclusive;0031E;-2400, -432;-2384, -416;-2384, -448;-2416, -448;-2416, -416;-2400.0000;-432.0000;4
32;District 1 Alpha;Curiosity;Exclusive;0032E;-2368, -432;-2352, -416;-2352, -448;-2384, -448;-2384, -416;-2368.0000;-432.0000;4
33;District 1 Alpha;Curiosity;Exclusive;0033E;-1152, -1104;-1136, -1088;-1136, -1120;-1168, -1120;-1168, -1088;-1152.0000;-1104.0000;5
34;District 1 Alpha;Curiosity;Exclusive;0034E;-1120, -1104;-1104, -1088;-1104, -1120;-1136, -1120;-1136, -1088;-1120.0000;-1104.0000;5
35;District 1 Alpha;Curiosity;Exclusive;0035E;-1088, -1104;-1072, -1088;-1072, -1120;-1104, -1120;-1104, -1088;-1088.0000;-1104.0000;5
36;District 1 Alpha;Curiosity;Exclusive;0036E;-1088, -1136;-1072, -1120;-1072, -1152;-1104, -1152;-1104, -1120;-1088.0000;-1136.0000;5
37;District 1 Alpha;Curiosity;Exclusive;0037E;-1152, -1136;-1136, -1120;-1136, -1152;-1168, -1152;-1168, -1120;-1152.0000;-1136.0000;5
38;District 1 Alpha;Curiosity;Exclusive;0038E;-1152, -1168;-1136, -1152;-1136, -1184;-1168, -1184;-1168, -1152;-1152.0000;-1168.0000;5
39;District 1 Alpha;Curiosity;Exclusive;0039E;-1120, -1168;-1104, -1152;-1104, -1184;-1136, -1184;-1136, -1152;-1120.0000;-1168.0000;5
40;District 1 Alpha;Curiosity;Exclusive;0040E;-1088, -1168;-1072, -1152;-1072, -1184;-1104, -1184;-1104, -1152;-1088.0000;-1168.0000;5
41;District 1 Alpha;Curiosity;Exclusive;0041E;-272, -2560;-256, -2544;-256, -2576;-288, -2576;-288, -2544;-272.0000;-2560.0000;6
42;District 1 Alpha;Curiosity;Exclusive;0042E;-240, -2560;-224, -2544;-224, -2576;-256, -2576;-256, -2544;-240.0000;-2560.0000;6
43;District 1 Alpha;Curiosity;Exclusive;0043E;-208, -2560;-192, -2544;-192, -2576;-224, -2576;-224, -2544;-208.0000;-2560.0000;6
44;District 1 Alpha;Curiosity;Exclusive;0044E;-208, -2592;-192, -2576;-192, -2608;-224, -2608;-224, -2576;-208.0000;-2592.0000;6
45;District 1 Alpha;Curiosity;Exclusive;0045E;-272, -2592;-256, -2576;-256, -2608;-288, -2608;-288, -2576;-272.0000;-2592.0000;6
46;District 1 Alpha;Curiosity;Exclusive;0046E;-272, -2624;-256, -2608;-256, -2640;-288, -2640;-288, -2608;-272.0000;-2624.0000;6
47;District 1 Alpha;Curiosity;Exclusive;0047E;-240, -2624;-224, -2608;-224, -2640;-256, -2640;-256, -2608;-240.0000;-2624.0000;6
48;District 1 Alpha;Curiosity;Exclusive;0048E;-208, -2624;-192, -2608;-192, -2640;-224, -2640;-224, -2608;-208.0000;-2624.0000;6
49;District 1 Alpha;Curiosity;Exclusive;0049E;1152, -1104;1136, -1088;1136, -1120;1168, -1120;1168, -1088;1152.0000;-1104.0000;7
50;District 1 Alpha;Curiosity;Exclusive;0050E;1120, -1104;1104, -1088;1104, -1120;1136, -1120;1136, -1088;1120.0000;-1104.0000;7
51;District 1 Alpha;Curiosity;Exclusive;0051E;1088, -1104;1072, -1088;1072, -1120;1104, -1120;1104, -1088;1088.0000;-1104.0000;7
52;District 1 Alpha;Curiosity;Exclusive;0052E;1088, -1136;1072, -1120;1072, -1152;1104, -1152;1104, -1120;1088.0000;-1136.0000;7
53;District 1 Alpha;Curiosity;Exclusive;0053E;1152, -1136;1136, -1120;1136, -1152;1168, -1152;1168, -1120;1152.0000;-1136.0000;7
54;District 1 Alpha;Curiosity;Exclusive;0054E;1152, -1168;1136, -1152;1136, -1184;1168, -1184;1168, -1152;1152.0000;-1168.0000;7
55;District 1 Alpha;Curiosity;Exclusive;0055E;1120, -1168;1104, -1152;1104, -1184;1136, -1184;1136, -1152;1120.0000;-1168.0000;7
56;District 1 Alpha;Curiosity;Exclusive;0056E;1088, -1168;1072, -1152;1072, -1184;1104, -1184;1104, -1152;1088.0000;-1168.0000;7
57;District 1 Alpha;Curiosity;Exclusive;0057E;272, -2560;256, -2544;256, -2576;288, -2576;288, -2544;272.0000;-2560.0000;8
58;District 1 Alpha;Curiosity;Exclusive;0058E;240, -2560;224, -2544;224, -2576;256, -2576;256, -2544;240.0000;-2560.0000;8
59;District 1 Alpha;Curiosity;Exclusive;0059E;208, -2560;192, -2544;192, -2576;224, -2576;224, -2544;208.0000;-2560.0000;8
60;District 1 Alpha;Curiosity;Exclusive;0060E;208, -2592;192, -2576;192, -2608;224, -2608;224, -2576;208.0000;-2592.0000;8
61;District 1 Alpha;Curiosity;Exclusive;0061E;272, -2592;256, -2576;256, -2608;288, -2608;288, -2576;272.0000;-2592.0000;8
62;District 1 Alpha;Curiosity;Exclusive;0062E;272, -2624;256, -2608;256, -2640;288, -2640;288, -2608;272.0000;-2624.0000;8
63;District 1 Alpha;Curiosity;Exclusive;0063E;240, -2624;224, -2608;224, -2640;256, -2640;256, -2608;240.0000;-2624.0000;8
64;District 1 Alpha;Curiosity;Exclusive;0064E;208, -2624;192, -2608;192, -2640;224, -2640;224, -2608;208.0000;-2624.0000;8
65;District 1 Alpha;Curiosity;Exclusive;0065E;-768, 754;-784, 738;-784, 770;-752, 770;-752, 738;-768.0000;754.0000;9
66;District 1 Alpha;Curiosity;Exclusive;0066E;-800, 754;-816, 738;-816, 770;-784, 770;-784, 738;-800.0000;754.0000;9
67;District 1 Alpha;Curiosity;Exclusive;0067E;-832, 754;-848, 738;-848, 770;-816, 770;-816, 738;-832.0000;754.0000;9
68;District 1 Alpha;Curiosity;Exclusive;0068E;-832, 786;-848, 770;-848, 802;-816, 802;-816, 770;-832.0000;786.0000;9
69;District 1 Alpha;Curiosity;Exclusive;0069E;-768, 786;-784, 770;-784, 802;-752, 802;-752, 770;-768.0000;786.0000;9
70;District 1 Alpha;Curiosity;Exclusive;0070E;-768, 818;-784, 802;-784, 834;-752, 834;-752, 802;-768.0000;818.0000;9
71;District 1 Alpha;Curiosity;Exclusive;0071E;-800, 818;-816, 802;-816, 834;-784, 834;-784, 802;-800.0000;818.0000;9
72;District 1 Alpha;Curiosity;Exclusive;0072E;-832, 818;-848, 802;-848, 834;-816, 834;-816, 802;-832.0000;818.0000;9
73;District 1 Alpha;Curiosity;Exclusive;0073E;768, 752;784, 736;784, 768;752, 768;752, 736;768.0000;752.0000;10
74;District 1 Alpha;Curiosity;Exclusive;0074E;800, 752;816, 736;816, 768;784, 768;784, 736;800.0000;752.0000;10
75;District 1 Alpha;Curiosity;Exclusive;0075E;832, 752;848, 736;848, 768;816, 768;816, 736;832.0000;752.0000;10
76;District 1 Alpha;Curiosity;Exclusive;0076E;832, 784;848, 768;848, 800;816, 800;816, 768;832.0000;784.0000;10
77;District 1 Alpha;Curiosity;Exclusive;0077E;768, 784;784, 768;784, 800;752, 800;752, 768;768.0000;784.0000;10
78;District 1 Alpha;Curiosity;Exclusive;0078E;768, 816;784, 800;784, 832;752, 832;752, 800;768.0000;816.0000;10
79;District 1 Alpha;Curiosity;Exclusive;0079E;800, 816;816, 800;816, 832;784, 832;784, 800;800.0000;816.0000;10
80;District 1 Alpha;Curiosity;Exclusive;0080E;832, 816;848, 800;848, 832;816, 832;816, 800;832.0000;816.0000;10
81;District 1 Alpha;Curiosity;Exclusive;0081E;-768, -754;-784, -738;-784, -770;-752, -770;-752, -738;-768.0000;-754.0000;11
82;District 1 Alpha;Curiosity;Exclusive;0082E;-800, -754;-816, -738;-816, -770;-784, -770;-784, -738;-800.0000;-754.0000;11
83;District 1 Alpha;Curiosity;Exclusive;0083E;-832, -754;-848, -738;-848, -770;-816, -770;-816, -738;-832.0000;-754.0000;11
84;District 1 Alpha;Curiosity;Exclusive;0084E;-832, -786;-848, -770;-848, -802;-816, -802;-816, -770;-832.0000;-786.0000;11
85;District 1 Alpha;Curiosity;Exclusive;0085E;-768, -786;-784, -770;-784, -802;-752, -802;-752, -770;-768.0000;-786.0000;11
86;District 1 Alpha;Curiosity;Exclusive;0086E;-768, -818;-784, -802;-784, -834;-752, -834;-752, -802;-768.0000;-818.0000;11
87;District 1 Alpha;Curiosity;Exclusive;0087E;-800, -818;-816, -802;-816, -834;-784, -834;-784, -802;-800.0000;-818.0000;11
88;District 1 Alpha;Curiosity;Exclusive;0088E;-832, -818;-848, -802;-848, -834;-816, -834;-816, -802;-832.0000;-818.0000;11
89;District 1 Alpha;Curiosity;Exclusive;0089E;768, -752;784, -736;784, -768;752, -768;752, -736;768.0000;-752.0000;12
90;District 1 Alpha;Curiosity;Exclusive;0090E;800, -752;816, -736;816, -768;784, -768;784, -736;800.0000;-752.0000;12
91;District 1 Alpha;Curiosity;Exclusive;0091E;832, -752;848, -736;848, -768;816, -768;816, -736;832.0000;-752.0000;12
92;District 1 Alpha;Curiosity;Exclusive;0092E;832, -784;848, -768;848, -800;816, -800;816, -768;832.0000;-784.0000;12
93;District 1 Alpha;Curiosity;Exclusive;0093E;768, -784;784, -768;784, -800;752, -800;752, -768;768.0000;-784.0000;12
94;District 1 Alpha;Curiosity;Exclusive;0094E;768, -816;784, -800;784, -832;752, -832;752, -800;768.0000;-816.0000;12
95;District 1 Alpha;Curiosity;Exclusive;0095E;800, -816;816, -800;816, -832;784, -832;784, -800;800.0000;-816.0000;12
96;District 1 Alpha;Curiosity;Exclusive;0096E;832, -816;848, -800;848, -832;816, -832;816, -800;832.0000;-816.0000;12
97;District 1 Alpha;Curiosity;Exclusive;0097E;2058, -32;2074, -48;2074, -16;2042, -16;2042, -48;2058.0000;-32.0000;13
98;District 1 Alpha;Curiosity;Exclusive;0098E;2090, -32;2106, -48;2106, -16;2074, -16;2074, -48;2090.0000;-32.0000;13
99;District 1 Alpha;Curiosity;Exclusive;0099E;2122, -32;2138, -48;2138, -16;2106, -16;2106, -48;2122.0000;-32.0000;13
100;District 1 Alpha;Curiosity;Exclusive;0100E;2122, 0;2138, -16;2138, 16;2106, 16;2106, -16;2122.0000;0.0000;13
101;District 1 Alpha;Curiosity;Exclusive;0101E;2058, 0;2074, -16;2074, 16;2042, 16;2042, -16;2058.0000;0.0000;13
102;District 1 Alpha;Curiosity;Exclusive;0102E;2058, 32;2074, 16;2074, 48;2042, 48;2042, 16;2058.0000;32.0000;13
103;District 1 Alpha;Curiosity;Exclusive;0103E;2090, 32;2106, 16;2106, 48;2074, 48;2074, 16;2090.0000;32.0000;13
104;District 1 Alpha;Curiosity;Exclusive;0104E;2122, 32;2138, 16;2138, 48;2106, 48;2106, 16;2122.0000;32.0000;13
105;District 1 Alpha;Curiosity;Exclusive;0105E;-1152, 1104;-1136, 1088;-1136, 1120;-1168, 1120;-1168, 1088;-1152.0000;1104.0000;14
106;District 1 Alpha;Curiosity;Exclusive;0106E;-1120, 1104;-1104, 1088;-1104, 1120;-1136, 1120;-1136, 1088;-1120.0000;1104.0000;14
107;District 1 Alpha;Curiosity;Exclusive;0107E;-1088, 1104;-1072, 1088;-1072, 1120;-1104, 1120;-1104, 1088;-1088.0000;1104.0000;14
108;District 1 Alpha;Curiosity;Exclusive;0108E;-1088, 1136;-1072, 1120;-1072, 1152;-1104, 1152;-1104, 1120;-1088.0000;1136.0000;14
109;District 1 Alpha;Curiosity;Exclusive;0109E;-1152, 1136;-1136, 1120;-1136, 1152;-1168, 1152;-1168, 1120;-1152.0000;1136.0000;14
110;District 1 Alpha;Curiosity;Exclusive;0110E;-1152, 1168;-1136, 1152;-1136, 1184;-1168, 1184;-1168, 1152;-1152.0000;1168.0000;14
111;District 1 Alpha;Curiosity;Exclusive;0111E;-1120, 1168;-1104, 1152;-1104, 1184;-1136, 1184;-1136, 1152;-1120.0000;1168.0000;14
112;District 1 Alpha;Curiosity;Exclusive;0112E;-1088, 1168;-1072, 1152;-1072, 1184;-1104, 1184;-1104, 1152;-1088.0000;1168.0000;14
113;District 1 Alpha;Curiosity;Exclusive;0113E;-272, 2560;-256, 2544;-256, 2576;-288, 2576;-288, 2544;-272.0000;2560.0000;15
114;District 1 Alpha;Curiosity;Exclusive;0114E;-240, 2560;-224, 2544;-224, 2576;-256, 2576;-256, 2544;-240.0000;2560.0000;15
115;District 1 Alpha;Curiosity;Exclusive;0115E;-208, 2560;-192, 2544;-192, 2576;-224, 2576;-224, 2544;-208.0000;2560.0000;15
116;District 1 Alpha;Curiosity;Exclusive;0116E;-208, 2592;-192, 2576;-192, 2608;-224, 2608;-224, 2576;-208.0000;2592.0000;15
117;District 1 Alpha;Curiosity;Exclusive;0117E;-272, 2592;-256, 2576;-256, 2608;-288, 2608;-288, 2576;-272.0000;2592.0000;15
118;District 1 Alpha;Curiosity;Exclusive;0118E;-272, 2624;-256, 2608;-256, 2640;-288, 2640;-288, 2608;-272.0000;2624.0000;15
119;District 1 Alpha;Curiosity;Exclusive;0119E;-240, 2624;-224, 2608;-224, 2640;-256, 2640;-256, 2608;-240.0000;2624.0000;15
120;District 1 Alpha;Curiosity;Exclusive;0120E;-208, 2624;-192, 2608;-192, 2640;-224, 2640;-224, 2608;-208.0000;2624.0000;15
121;District 1 Alpha;Curiosity;Exclusive;0121E;1152, 1104;1136, 1088;1136, 1120;1168, 1120;1168, 1088;1152.0000;1104.0000;16
122;District 1 Alpha;Curiosity;Exclusive;0122E;1120, 1104;1104, 1088;1104, 1120;1136, 1120;1136, 1088;1120.0000;1104.0000;16
123;District 1 Alpha;Curiosity;Exclusive;0123E;1088, 1104;1072, 1088;1072, 1120;1104, 1120;1104, 1088;1088.0000;1104.0000;16
124;District 1 Alpha;Curiosity;Exclusive;0124E;1088, 1136;1072, 1120;1072, 1152;1104, 1152;1104, 1120;1088.0000;1136.0000;16
125;District 1 Alpha;Curiosity;Exclusive;0125E;1152, 1136;1136, 1120;1136, 1152;1168, 1152;1168, 1120;1152.0000;1136.0000;16
126;District 1 Alpha;Curiosity;Exclusive;0126E;1152, 1168;1136, 1152;1136, 1184;1168, 1184;1168, 1152;1152.0000;1168.0000;16
127;District 1 Alpha;Curiosity;Exclusive;0127E;1120, 1168;1104, 1152;1104, 1184;1136, 1184;1136, 1152;1120.0000;1168.0000;16
128;District 1 Alpha;Curiosity;Exclusive;0128E;1088, 1168;1072, 1152;1072, 1184;1104, 1184;1104, 1152;1088.0000;1168.0000;16
129;District 1 Alpha;Curiosity;Exclusive;0129E;272, 2560;256, 2544;256, 2576;288, 2576;288, 2544;272.0000;2560.0000;17
130;District 1 Alpha;Curiosity;Exclusive;0130E;240, 2560;224, 2544;224, 2576;256, 2576;256, 2544;240.0000;2560.0000;17
131;District 1 Alpha;Curiosity;Exclusive;0131E;208, 2560;192, 2544;192, 2576;224, 2576;224, 2544;208.0000;2560.0000;17
132;District 1 Alpha;Curiosity;Exclusive;0132E;208, 2592;192, 2576;192, 2608;224, 2608;224, 2576;208.0000;2592.0000;17
133;District 1 Alpha;Curiosity;Exclusive;0133E;272, 2592;256, 2576;256, 2608;288, 2608;288, 2576;272.0000;2592.0000;17
134;District 1 Alpha;Curiosity;Exclusive;0134E;272, 2624;256, 2608;256, 2640;288, 2640;288, 2608;272.0000;2624.0000;17
135;District 1 Alpha;Curiosity;Exclusive;0135E;240, 2624;224, 2608;224, 2640;256, 2640;256, 2608;240.0000;2624.0000;17
136;District 1 Alpha;Curiosity;Exclusive;0136E;208, 2624;192, 2608;192, 2640;224, 2640;224, 2608;208.0000;2624.0000;17
137;District 1 Alpha;Curiosity;Exclusive;0137E;2432, -368;2416, -352;2416, -384;2448, -384;2448, -352;2432.0000;-368.0000;18
138;District 1 Alpha;Curiosity;Exclusive;0138E;2400, -368;2384, -352;2384, -384;2416, -384;2416, -352;2400.0000;-368.0000;18
139;District 1 Alpha;Curiosity;Exclusive;0139E;2368, -368;2352, -352;2352, -384;2384, -384;2384, -352;2368.0000;-368.0000;18
140;District 1 Alpha;Curiosity;Exclusive;0140E;2368, -400;2352, -384;2352, -416;2384, -416;2384, -384;2368.0000;-400.0000;18
141;District 1 Alpha;Curiosity;Exclusive;0141E;2432, -400;2416, -384;2416, -416;2448, -416;2448, -384;2432.0000;-400.0000;18
142;District 1 Alpha;Curiosity;Exclusive;0142E;2432, -432;2416, -416;2416, -448;2448, -448;2448, -416;2432.0000;-432.0000;18
143;District 1 Alpha;Curiosity;Exclusive;0143E;2400, -432;2384, -416;2384, -448;2416, -448;2416, -416;2400.0000;-432.0000;18
144;District 1 Alpha;Curiosity;Exclusive;0144E;2368, -432;2352, -416;2352, -448;2384, -448;2384, -416;2368.0000;-432.0000;18
145;District 2 Beta;Play;Exclusive;0363E;6368, -818;6384, -802;6384, -834;6352, -834;6352, -802;6368.0000;-818.0000;46
146;District 2 Beta;Play;Exclusive;0364E;6400, -818;6416, -802;6416, -834;6384, -834;6384, -802;6400.0000;-818.0000;46
147;District 2 Beta;Play;Exclusive;0365E;6432, -818;6448, -802;6448, -834;6416, -834;6416, -802;6432.0000;-818.0000;46
148;District 2 Beta;Play;Exclusive;0366E;4832, -752;4816, -736;4816, -768;4848, -768;4848, -736;4832.0000;-752.0000;46
149;District 2 Beta;Play;Exclusive;0367E;4800, -752;4784, -736;4784, -768;4816, -768;4816, -736;4800.0000;-752.0000;46
150;District 2 Beta;Play;Exclusive;0368E;4768, -752;4752, -736;4752, -768;4784, -768;4784, -736;4768.0000;-752.0000;46
151;District 2 Beta;Play;Exclusive;0369E;4768, -784;4752, -768;4752, -800;4784, -800;4784, -768;4768.0000;-784.0000;47
152;District 2 Beta;Play;Exclusive;0370E;4832, -784;4816, -768;4816, -800;4848, -800;4848, -768;4832.0000;-784.0000;47
153;District 2 Beta;Play;Exclusive;0371E;4832, -816;4816, -800;4816, -832;4848, -832;4848, -800;4832.0000;-816.0000;47
154;District 2 Beta;Play;Exclusive;0372E;4800, -816;4784, -800;4784, -832;4816, -832;4816, -800;4800.0000;-816.0000;47
155;District 2 Beta;Play;Exclusive;0373E;4768, -816;4752, -800;4752, -832;4784, -832;4784, -800;4768.0000;-816.0000;47
156;District 2 Beta;Play;Exclusive;0374E;4448, -1104;4464, -1088;4464, -1120;4432, -1120;4432, -1088;4448.0000;-1104.0000;47
157;District 2 Beta;Play;Exclusive;0375E;4480, -1104;4496, -1088;4496, -1120;4464, -1120;4464, -1088;4480.0000;-1104.0000;47
158;District 2 Beta;Play;Exclusive;0376E;4512, -1104;4528, -1088;4528, -1120;4496, -1120;4496, -1088;4512.0000;-1104.0000;47
159;District 2 Beta;Play;Exclusive;0377E;4512, -1136;4528, -1120;4528, -1152;4496, -1152;4496, -1120;4512.0000;-1136.0000;48
160;District 2 Beta;Play;Exclusive;0378E;4448, -1136;4464, -1120;4464, -1152;4432, -1152;4432, -1120;4448.0000;-1136.0000;48
161;District 2 Beta;Play;Exclusive;0379E;4448, -1168;4464, -1152;4464, -1184;4432, -1184;4432, -1152;4448.0000;-1168.0000;48
162;District 2 Beta;Play;Exclusive;0380E;4480, -1168;4496, -1152;4496, -1184;4464, -1184;4464, -1152;4480.0000;-1168.0000;48
163;District 2 Beta;Play;Exclusive;0381E;4512, -1168;4528, -1152;4528, -1184;4496, -1184;4496, -1152;4512.0000;-1168.0000;48
164;District 2 Beta;Play;Exclusive;0382E;5328, -2560;5344, -2544;5344, -2576;5312, -2576;5312, -2544;5328.0000;-2560.0000;48
165;District 2 Beta;Play;Exclusive;0383E;5360, -2560;5376, -2544;5376, -2576;5344, -2576;5344, -2544;5360.0000;-2560.0000;48
166;District 2 Beta;Play;Exclusive;0384E;5392, -2560;5408, -2544;5408, -2576;5376, -2576;5376, -2544;5392.0000;-2560.0000;48
167;District 2 Beta;Play;Exclusive;0385E;5392, -2592;5408, -2576;5408, -2608;5376, -2608;5376, -2576;5392.0000;-2592.0000;49
168;District 2 Beta;Play;Exclusive;0386E;5328, -2592;5344, -2576;5344, -2608;5312, -2608;5312, -2576;5328.0000;-2592.0000;49
169;District 2 Beta;Play;Exclusive;0387E;5328, -2624;5344, -2608;5344, -2640;5312, -2640;5312, -2608;5328.0000;-2624.0000;49
170;District 2 Beta;Play;Exclusive;0388E;5360, -2624;5376, -2608;5376, -2640;5344, -2640;5344, -2608;5360.0000;-2624.0000;49
171;District 2 Beta;Play;Exclusive;0389E;5392, -2624;5408, -2608;5408, -2640;5376, -2640;5376, -2608;5392.0000;-2624.0000;49
172;District 2 Beta;Play;Exclusive;0390E;6752, -1104;6736, -1088;6736, -1120;6768, -1120;6768, -1088;6752.0000;-1104.0000;49
173;District 2 Beta;Play;Exclusive;0391E;6720, -1104;6704, -1088;6704, -1120;6736, -1120;6736, -1088;6720.0000;-1104.0000;49
174;District 2 Beta;Play;Exclusive;0392E;6688, -1104;6672, -1088;6672, -1120;6704, -1120;6704, -1088;6688.0000;-1104.0000;49
175;District 2 Beta;Play;Exclusive;0393E;6688, -1136;6672, -1120;6672, -1152;6704, -1152;6704, -1120;6688.0000;-1136.0000;50
176;District 2 Beta;Play;Exclusive;0394E;6752, -1136;6736, -1120;6736, -1152;6768, -1152;6768, -1120;6752.0000;-1136.0000;50
177;District 2 Beta;Play;Exclusive;0395E;6752, -1168;6736, -1152;6736, -1184;6768, -1184;6768, -1152;6752.0000;-1168.0000;50
178;District 2 Beta;Play;Exclusive;0396E;6720, -1168;6704, -1152;6704, -1184;6736, -1184;6736, -1152;6720.0000;-1168.0000;50
179;District 2 Beta;Play;Exclusive;0397E;6688, -1168;6672, -1152;6672, -1184;6704, -1184;6704, -1152;6688.0000;-1168.0000;50
180;District 2 Beta;Play;Exclusive;0398E;4048, -1824;4064, -1808;4064, -1840;4032, -1840;4032, -1808;4048.0000;-1824.0000;50
181;District 2 Beta;Play;Exclusive;0399E;4048, -1856;4064, -1840;4064, -1872;4032, -1872;4032, -1840;4048.0000;-1856.0000;50
182;District 2 Beta;Play;Exclusive;0400E;4048, -1888;4064, -1872;4064, -1904;4032, -1904;4032, -1872;4048.0000;-1888.0000;50
183;District 2 Beta;Play;Exclusive;0401E;4432, 6784;4416, 6768;4416, 6800;4448, 6800;4448, 6768;4432.0000;6784.0000;51
184;District 2 Beta;Play;Exclusive;0402E;4400, 6784;4384, 6768;4384, 6800;4416, 6800;4416, 6768;4400.0000;6784.0000;51
185;District 2 Beta;Play;Exclusive;0403E;4368, 6784;4352, 6768;4352, 6800;4384, 6800;4384, 6768;4368.0000;6784.0000;51
186;District 2 Beta;Play;Exclusive;0404E;4368, 6816;4352, 6800;4352, 6832;4384, 6832;4384, 6800;4368.0000;6816.0000;51
187;District 2 Beta;Play;Exclusive;0405E;4432, 6816;4416, 6800;4416, 6832;4448, 6832;4448, 6800;4432.0000;6816.0000;51
188;District 2 Beta;Play;Exclusive;0406E;4432, 6848;4416, 6832;4416, 6864;4448, 6864;4448, 6832;4432.0000;6848.0000;51
189;District 2 Beta;Play;Exclusive;0407E;4400, 6848;4384, 6832;4384, 6864;4416, 6864;4416, 6832;4400.0000;6848.0000;51
