Count,Name,DIAGONALS_01_1_XY,DIAGONALS_01_2_XY,DIAGONALS_01_3_XY,DIAGONALS_01_4_XY,DIAGONALS_01_5_XY,DIAGONALS_01_6_XY,DIAGONALS_003_1_XY,DIAGONALS_003_2_XY,DIAGONALS_003_3_XY,DIAGONALS_003_4_XY,DIAGONALS_003_5_XY,DIAGONALS_003_6_XY,DIAGONALS_02_1_XY,DIAGONALS_02_2_XY,DIAGONALS_02_3_XY,DIAGONALS_02_4_XY,DIAGONALS_02_5_XY,DIAGONALS_02_6_XY,DIAGONALS_005_1_XY,DIAGONALS_005_2_XY,DIAGONALS_005_3_XY,DIAGONALS_005_4_XY,DIAGONALS_005_5_XY,DIAGONALS_005_6_XY,DIAGONALS_006_1_XY,DIAGONALS_006_2_XY,DIAGONALS_006_3_XY,DIAGONALS_006_4_XY,DIAGONALS_006_5_XY,DIAGONALS_006_6_XY,DIAGONALS_007_1_XY,DIAGONALS_007_2_XY,DIAGONALS_007_3_XY,DIAGONALS_007_4_XY,DIAGONALS_007_5_XY,DIAGONALS_007_6_XY,DIAGONALS_08_1_XY,DIAGONALS_08_2_XY,DIAGONALS_08_3_XY,DIAGONALS_08_4_XY,DIAGONALS_08_5_XY,DIAGONALS_08_6_XY,DIAGONALS_08_7_XY,DIAGONALS_08_8_XY,DIAGONALS_09_1_XY,DIAGONALS_09_2_XY,DIAGONALS_09_3_XY,DIAGONALS_09_4_XY,DIAGONALS_09_5_XY,DIAGONALS_09_6_XY,DIAGONALS_09_7_XY,DIAGONALS_09_8_XY,PARALLELS_01_1_XY,PARALLELS_01_2_XY,PARALLELS_01_3_XY,PARALLELS_01_4_XY,PARALLELS_01_5_XY,PARALLELS_01_6_XY,PARALLELS_01_7_XY,PARALLELS_01_8_XY,PARALLELS_02_1_XY,PARALLELS_02_2_XY,PARALLELS_02_3_XY,PARALLELS_02_4_XY,PARALLELS_02_5_XY,PARALLELS_02_6_XY,PARALLELS_02_7_XY,PARALLELS_02_8_XY,PARALLELS_03_1_XY,PARALLELS_03_2_XY,PARALLELS_03_3_XY,PARALLELS_03_4_XY,PARALLELS_03_5_XY,PARALLELS_03_6_XY,PARALLELS_03_7_XY,PARALLELS_03_8_XY
1,Diagonals_04,,,,,,,,,,,,,"0.0000, 3435.7953","0.0000, 3458.8893","2600.0000, 4960.0000","0.0000, 6461.1107","0.0000, 6484.2047","2640.0000, 4960.0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_05,,,,,,,,,,,,,,,,,,,"2760.0000, 1732.0508","2740.0000, 1743.5978","2740.0000, 4717.5129","140.0000, 3216.4022","120.0000, 3227.9492","2760.0000, 4752.1539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_05,,,,,,,,,,,,,,,,,,,"-2760.0000, 1732.0508","-2740.0000, 1743.5978","-2740.0000, 4717.5129","-140.0000, 3216.4022","-120.0000, 3227.9492","-2760.0000, 4752.1539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_05,,,,,,,,,,,,,,,,,,,"2760.0000, -1732.0508","2740.0000, -1743.5978","2740.0000, -4717.5129","140.0000, -3216.4022","120.0000, -3227.9492","2760.0000, -4752.1539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_05,,,,,,,,,,,,,,,,,,,"-2760.0000, -1732.0508","-2740.0000, -1743.5978","-2740.0000, -4717.5129","-140.0000, -3216.4022","-120.0000, -3227.9492","-2760.0000, -4752.1539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_06,,,,,,,,,,,,,,,,,,,,,,,,,"-5460.0000, -3308.7782","-5480.0000, -3320.3252","-3000.0000, -4752.1539","-3000.0000, -1639.6748","-3020.0000, -1651.2218","-3020.0000, -4717.5129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_06,,,,,,,,,,,,,,,,,,,,,,,,,"5460.0000, -3308.7782","5480.0000, -3320.3252","3000.0000, -4752.1539","3000.0000, -1639.6748","3020.0000, -1651.2218","3020.0000, -4717.5129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_06,,,,,,,,,,,,,,,,,,,,,,,,,"-5460.0000, 3308.7782","-5480.0000, 3320.3252","-3000.0000, 4752.1539","-3000.0000, 1639.6748","-3020.0000, 1651.2218","-3020.0000, 4717.5129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_06,,,,,,,,,,,,,,,,,,,,,,,,,"5460.0000, 3308.7782","5480.0000, 3320.3252","3000.0000, 4752.1539","3000.0000, 1639.6748","3020.0000, 1651.2218","3020.0000, 4717.5129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3019.0601, -1652.6070","-3000.0000, -1639.6748","-5480.0000, -207.8461","-5479.0601, -3321.7105","-5460.0000, -3308.7782","-5455.2014, -239.2313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3019.0601, -1652.6070","3000.0000, -1639.6748","5480.0000, -207.8461","5479.0601, -3321.7105","5460.0000, -3308.7782","5455.2014, -239.2313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3019.0601, 1652.6070","-3000.0000, 1639.6748","-5480.0000, 207.8461","-5479.0601, 3321.7105","-5460.0000, 3308.7782","-5455.2014, 239.2313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3019.0601, 1652.6070","3000.0000, 1639.6748","5480.0000, 207.8461","5479.0601, 3321.7105","5460.0000, 3308.7782","5455.2014, 239.2313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000.0000, 5167.8461","3020.0000, 5202.4871","5635.4860, 6712.5387","5635.4860, 6900.6069","4409.1789, 7608.6156","4419.1789, 7625.9361","5655.4860, 6912.1539","5655.4860, 6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2760.0000, 5167.8461","2740.0000, 5202.4871","2740.0000, 8222.5902","2577.1281, 8316.6243","1350.8211, 7608.6156","1340.8211, 7625.9361","2577.1281, 8339.7183","2760.0000, 8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2760.0000, 5167.8461","2740.0000, 5202.4871","124.5140, 6712.5387","124.5140, 6900.6069","1350.8211, 7608.6156","1340.8211, 7625.9361","104.5140, 6912.1539","104.5140, 6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2760.0000, -5167.8461","-2740.0000, -5202.4871","-2740.0000, -8222.5902","-2577.1281, -8316.6243","-1350.8211, -7608.6156","-1340.8211, -7625.9361","-2577.1281, -8339.7183","-2760.0000, -8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2760.0000, -5167.8461","-2740.0000, -5202.4871","-124.5140, -6712.5387","-124.5140, -6900.6069","-1350.8211, -7608.6156","-1340.8211, -7625.9361","-104.5140, -6912.1539","-104.5140, -6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000.0000, 5167.8461","3020.0000, 5202.4871","3020.0000, 8222.5902","3182.8719, 8316.6243","4409.1789, 7608.6156","4419.1789, 7625.9361","3182.8719, 8339.7183","3000.0000, 8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2760.0000, 5167.8461","-2740.0000, 5202.4871","-124.5140, 6712.5387","-124.5140, 6900.6069","-1350.8211, 7608.6156","-1340.8211, 7625.9361","-104.5140, 6912.1539","-104.5140, 6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000.0000, -5167.8461","3020.0000, -5202.4871","3020.0000, -8222.5902","3182.8719, -8316.6243","4409.1789, -7608.6156","4419.1789, -7625.9361","3182.8719, -8339.7183","3000.0000, -8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000.0000, -5167.8461","3020.0000, -5202.4871","5635.4860, -6712.5387","5635.4860, -6900.6069","4409.1789, -7608.6156","4419.1789, -7625.9361","5655.4860, -6912.1539","5655.4860, -6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3000.0000, 5167.8461","-3020.0000, 5202.4871","-3020.0000, 8222.5902","-3182.8719, 8316.6243","-4409.1789, 7608.6156","-4419.1789, 7625.9361","-3182.8719, 8339.7183","-3000.0000, 8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3000.0000, 5167.8461","-3020.0000, 5202.4871","-5635.4860, 6712.5387","-5635.4860, 6900.6069","-4409.1789, 7608.6156","-4419.1789, 7625.9361","-5655.4860, 6912.1539","-5655.4860, 6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2760.0000, 5167.8461","-2740.0000, 5202.4871","-2740.0000, 8222.5902","-2577.1281, 8316.6243","-1350.8211, 7608.6156","-1340.8211, 7625.9361","-2577.1281, 8339.7183","-2760.0000, 8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5720.0000, 207.8461","5740.0000, 242.4871","8355.4860, 1752.5387","8355.4860, 1940.6069","7129.1789, 2648.6156","7139.1789, 2665.9361","8375.4860, 1952.1539","8375.4860, 1740.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5720.0000, -207.8461","-5740.0000, -242.4871","-5740.0000, -3262.5902","-5902.8719, -3356.6243","-7129.1789, -2648.6156","-7139.1789, -2665.9361","-5902.8719, -3379.7183","-5720.0000, -3274.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5720.0000, -207.8461","-5740.0000, -242.4871","-8355.4860, -1752.5387","-8355.4860, -1940.6069","-7129.1789, -2648.6156","-7139.1789, -2665.9361","-8375.4860, -1952.1539","-8375.4860, -1740.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5720.0000, -207.8461","5740.0000, -242.4871","5740.0000, -3262.5902","5902.8719, -3356.6243","7129.1789, -2648.6156","7139.1789, -2665.9361","5902.8719, -3379.7183","5720.0000, -3274.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5720.0000, -207.8461","5740.0000, -242.4871","8355.4860, -1752.5387","8355.4860, -1940.6069","7129.1789, -2648.6156","7139.1789, -2665.9361","8375.4860, -1952.1539","8375.4860, -1740.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5720.0000, 207.8461","5740.0000, 242.4871","5740.0000, 3262.5902","5902.8719, 3356.6243","7129.1789, 2648.6156","7139.1789, 2665.9361","5902.8719, 3379.7183","5720.0000, 3274.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2760.0000, -5167.8461","2740.0000, -5202.4871","124.5140, -6712.5387","124.5140, -6900.6069","1350.8211, -7608.6156","1340.8211, -7625.9361","104.5140, -6912.1539","104.5140, -6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3000.0000, -5167.8461","-3020.0000, -5202.4871","-3020.0000, -8222.5902","-3182.8719, -8316.6243","-4409.1789, -7608.6156","-4419.1789, -7625.9361","-3182.8719, -8339.7183","-3000.0000, -8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3000.0000, -5167.8461","-3020.0000, -5202.4871","-5635.4860, -6712.5387","-5635.4860, -6900.6069","-4409.1789, -7608.6156","-4419.1789, -7625.9361","-5655.4860, -6912.1539","-5655.4860, -6700.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5720.0000, 207.8461","-5740.0000, 242.4871","-5740.0000, 3262.5902","-5902.8719, 3356.6243","-7129.1789, 2648.6156","-7139.1789, 2665.9361","-5902.8719, 3379.7183","-5720.0000, 3274.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5720.0000, 207.8461","-5740.0000, 242.4871","-8355.4860, 1752.5387","-8355.4860, 1940.6069","-7129.1789, 2648.6156","-7139.1789, 2665.9361","-8375.4860, 1952.1539","-8375.4860, 1740.9917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2760.0000, -5167.8461","2740.0000, -5202.4871","2740.0000, -8222.5902","2577.1281, -8316.6243","1350.8211, -7608.6156","1340.8211, -7625.9361","2577.1281, -8339.7183","2760.0000, -8234.1372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8463.5281, 0.0000","-8446.0755, 0.0000","-8446.0755, -1289.7569","-8280.0000, -1385.6406","-5880.0000, 0.0000","-5840.0000, 0.0000","-8280.0000, -1408.7347","-8463.5281, -1302.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5743.5281, 4960.0000","-5726.0755, 4960.0000","-5726.0755, 6249.7569","-5560.0000, 6345.6406","-3160.0000, 4960.0000","-3120.0000, 4960.0000","-5560.0000, 6368.7347","-5743.5281, 6262.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5743.5281, 4960.0000","-5726.0755, 4960.0000","-5726.0755, 3670.2431","-5560.0000, 3574.3594","-3160.0000, 4960.0000","-3120.0000, 4960.0000","-5560.0000, 3551.2653","-5743.5281, 3657.2253",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5743.5281, -4960.0000","-5726.0755, -4960.0000","-5726.0755, -3670.2431","-5560.0000, -3574.3594","-3160.0000, -4960.0000","-3120.0000, -4960.0000","-5560.0000, -3551.2653","-5743.5281, -3657.2253",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5743.5281, -4960.0000","-5726.0755, -4960.0000","-5726.0755, -6249.7569","-5560.0000, -6345.6406","-3160.0000, -4960.0000","-3120.0000, -4960.0000","-5560.0000, -6368.7347","-5743.5281, -6262.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8463.5281, 0.0000","-8446.0755, 0.0000","-8446.0755, 1289.7569","-8280.0000, 1385.6406","-5880.0000, 0.0000","-5840.0000, 0.0000","-8280.0000, 1408.7347","-8463.5281, 1302.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8463.5281, 0.0000","8446.0755, 0.0000","8446.0755, -1289.7569","8280.0000, -1385.6406","5880.0000, 0.0000","5840.0000, 0.0000","8280.0000, -1408.7347","8463.5281, -1302.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5743.5281, 4960.0000","5726.0755, 4960.0000","5726.0755, 6249.7569","5560.0000, 6345.6406","3160.0000, 4960.0000","3120.0000, 4960.0000","5560.0000, 6368.7347","5743.5281, 6262.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5743.5281, 4960.0000","5726.0755, 4960.0000","5726.0755, 3670.2431","5560.0000, 3574.3594","3160.0000, 4960.0000","3120.0000, 4960.0000","5560.0000, 3551.2653","5743.5281, 3657.2253",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5743.5281, -4960.0000","5726.0755, -4960.0000","5726.0755, -3670.2431","5560.0000, -3574.3594","3160.0000, -4960.0000","3120.0000, -4960.0000","5560.0000, -3551.2653","5743.5281, -3657.2253",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5743.5281, -4960.0000","5726.0755, -4960.0000","5726.0755, -6249.7569","5560.0000, -6345.6406","3160.0000, -4960.0000","3120.0000, -4960.0000","5560.0000, -6368.7347","5743.5281, -6262.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Diagonals_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8463.5281, 0.0000","8446.0755, 0.0000","8446.0755, 1289.7569","8280.0000, 1385.6406","5880.0000, 0.0000","5840.0000, 0.0000","8280.0000, 1408.7347","8463.5281, 1302.7747",,,,,,,,,,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600.0000, 1628.1278","5600.0000, 1616.5808","7000.0000, 808.2904","7000.0000, -808.2904","5600.0000, -1616.5808","5600.0000, -1628.1278","7010.0000, -814.0639","7010.0000, 814.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600.0000, 1628.1278","5600.0000, 1616.5808","4200.0000, 808.2904","4200.0000, -808.2904","5600.0000, -1616.5808","5600.0000, -1628.1278","4190.0000, -814.0639","4190.0000, 814.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, 6588.1278","2880.0000, 6576.5808","4280.0000, 5768.2904","4280.0000, 4151.7096","2880.0000, 3343.4192","2880.0000, 3331.8722","4290.0000, 4145.9361","4290.0000, 5774.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, -3331.8722","-2880.0000, -3343.4192","-4280.0000, -4151.7096","-4280.0000, -5768.2904","-2880.0000, -6576.5808","-2880.0000, -6588.1278","-4290.0000, -5774.0639","-4290.0000, -4145.9361",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, -3331.8722","2880.0000, -3343.4192","4280.0000, -4151.7096","4280.0000, -5768.2904","2880.0000, -6576.5808","2880.0000, -6588.1278","4290.0000, -5774.0639","4290.0000, -4145.9361",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, -3331.8722","2880.0000, -3343.4192","1480.0000, -4151.7096","1480.0000, -5768.2904","2880.0000, -6576.5808","2880.0000, -6588.1278","1470.0000, -5774.0639","1470.0000, -4145.9361",,,,,,,,,,,,,,,,
